isocode3,country,u5mort_2011_rto_GDL,u5mort_2015_rto_GDL,u5mort_2005_rto_GDL,u5mort_2009_rto_GDL,u5mort_2017_rto_GDL,u5mort_2002_rto_GDL,u5mort_2013_rto_GDL,u5mort_2019_rto_GDL,u5mort_2000_rto_GDL,u5mort_2016_rto_GDL,u5mort_2010_rto_GDL,u5mort_2006_rto_GDL,u5mort_2023_rto_GDL,u5mort_1996_rto_GDL,u5mort_2004_rto_GDL,u5mort_2014_rto_GDL,u5mort_2022_rto_GDL,u5mort_2012_rto_GDL,u5mort_2001_rto_GDL,u5mort_2018_rto_GDL,u5mort_2021_rto_GDL,u5mort_1998_rto_GDL,u5mort_2003_rto_GDL,u5mort_2008_rto_GDL,u5mort_1994_rto_GDL,u5mort_1997_rto_GDL,u5mort_1995_rto_GDL,u5mort_2007_rto_GDL,u5mort_1999_rto_GDL,u5mort_2020_rto_GDL,u5mort_1992_rto_GDL,u5mort_1993_rto_GDL,u5mort_2024_rto_GDL,u5mort_1991_rto_GDL
IND,India,NA,NA,NA,NA,NA,NA,NA,42.252,NA,52.03,NA,85.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.24,NA,118.777,NA,NA,NA
IDN,Indonesia,NA,NA,NA,NA,34.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.727,NA,NA,NA,NA,54.421,NA,NA,70.601,NA,50.982,NA,NA,NA,NA,NA,NA
IRN,"Iran, Islamic Rep.",28.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,Kazakhstan,NA,25.383,NA,NA,NA,NA,NA,NA,NA,NA,31.501,42.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.876,NA,62.972,NA,NA,NA,NA,NA
KEN,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.982,43.381,NA,NA,NA,NA,104.712,112.447,83.64,NA,NA,NA,NA,NA,NA,NA,93.058,NA,NA
KGZ,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.347,NA,NA,NA,29.911,NA,32.941,NA,19.679,NA,NA,NA,NA,NA,75.84,NA,NA,NA,NA,NA,NA,NA,NA
LAO,Lao PDR,NA,NA,NA,NA,58.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSO,Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.777,NA,NA,NA,101.938,91.96,NA,NA,NA,79.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.286,NA
MDG,Madagascar,NA,NA,NA,81.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.316,NA,NA,NA,NA,68.87,69.157,NA,NA,NA,NA,163.799,NA,NA,NA,NA,177.209,NA,NA,NA
MWI,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,202.71,74.548,127.183,NA,NA,NA,157.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.178,239.656,NA,NA,NA
MEX,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,50.881,20.346,29.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Moldova,NA,NA,26.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,NA,NA,67.705,NA,NA,NA,NA,NA,NA,NA,45.239,NA,NA,NA,NA,NA,NA,NA,NA,17.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,Montenegro,NA,NA,NA,NA,NA,NA,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
